Problem,Agent's Answer,Correct?,Correct Answer
Basic Problem B-01,2,Correct,2
Basic Problem B-02,5,Correct,5
Basic Problem B-03,1,Correct,1
Basic Problem B-04,3,Correct,3
Basic Problem B-05,4,Correct,4
Basic Problem B-06,5,Correct,5
Basic Problem B-07,6,Correct,6
Basic Problem B-08,6,Correct,6
Basic Problem B-09,-1,Skipped,5
Basic Problem B-10,-1,Skipped,3
Basic Problem B-11,2,Incorrect,1
Basic Problem B-12,-1,Skipped,1
Basic Problem C-01,3,Correct,3
Basic Problem C-02,1,Incorrect,4
Basic Problem C-03,-1,Skipped,4
Basic Problem C-04,1,Incorrect,8
Basic Problem C-05,1,Incorrect,3
Basic Problem C-06,4,Incorrect,7
Basic Problem C-07,2,Correct,2
Basic Problem C-08,-1,Skipped,5
Basic Problem C-09,-1,Skipped,2
Basic Problem C-10,5,Incorrect,7
Basic Problem C-11,4,Correct,4
Basic Problem C-12,-1,Skipped,8
Basic Problem D-01,3,Correct,3
Basic Problem D-02,1,Correct,1
Basic Problem D-03,3,Correct,3
Basic Problem D-04,-1,Skipped,1
Basic Problem D-05,5,Incorrect,7
Basic Problem D-06,-1,Skipped,1
Basic Problem D-07,-1,Skipped,1
Basic Problem D-08,-1,Skipped,4
Basic Problem D-09,-1,Skipped,3
Basic Problem D-10,-1,Skipped,1
Basic Problem D-11,3,Correct,3
Basic Problem D-12,-1,Skipped,3
Basic Problem E-01,-1,Skipped,1
Basic Problem E-02,-1,Skipped,7
Basic Problem E-03,-1,Skipped,2
Basic Problem E-04,-1,Skipped,8
Basic Problem E-05,-1,Skipped,5
Basic Problem E-06,-1,Skipped,8
Basic Problem E-07,-1,Skipped,3
Basic Problem E-08,-1,Skipped,1
Basic Problem E-09,-1,Skipped,7
Basic Problem E-10,-1,Skipped,8
Basic Problem E-11,-1,Skipped,5
Basic Problem E-12,-1,Skipped,6
